종목코드,종목명,종가,대비,등락률,상장시가총액
"004020","현대제철","29050","-100","-0.34","3876600.0"
"111770","영원무역","83900","-2000","-2.33","3717732.0"
"302440","SK바이오사이언스","47550","450","0.96","3728531.0"
"082740","한화엔진","45550","1700","3.88","3801017.0"
"036460","한국가스공사","38100","-350","-0.91","3517125.0"
"017800","현대엘리베이터","86200","-500","-0.58","3369764.0"
"002380","KCC","403000","2000","0.50","3581248.0"
"071970","HD현대마린엔진","96200","6100","6.77","3263248.0"
"097950","CJ제일제당","203500","500","0.25","3063527.0"
"011780","금호석유화학","116600","-2000","-1.69","3035301.0"
"011170","롯데케미칼","69100","-1300","-1.85","2955781.0"
"103140","풍산","114000","900","0.80","3194768.0"
"088350","한화생명","3080","-110","-3.45","2675072.0"
"204320","HL만도","56700","-1700","-2.91","2662469.0"
"014680","한솔케미칼","236500","-15500","-6.15","2680774.0"
"009420","한올바이오파마","52600","1900","3.75","2747858.0"
"012750","에스원","72700","1300","1.82","2762540.0"
"004990","롯데지주","25200","-450","-1.75","2643713.0"
"383220","F&F","63800","-1700","-2.60","2443991.0"
"081660","미스토홀딩스","42250","0","0.00","2539049.0"
"139130","iM금융지주","14860","-250","-1.65","2386881.0"
"000240","한국앤컴퍼니","24650","50","0.20","2340154.0"
"001450","현대해상","27800","-2850","-9.30","2485320.0"
"004170","신세계","256000","-6000","-2.29","2469166.0"
"004370","농심","405500","-9000","-2.17","2466511.0"
"008930","한미사이언스","37000","-700","-1.86","2530487.0"
"009970","영원무역홀딩스","190000","600","0.32","2564855.0"
"011210","현대위아","83800","6300","8.13","2278948.0"
"026960","동서","24900","-300","-1.19","2482530.0"
"030000","제일기획","20300","-250","-1.22","2335337.0"
"361610","SK아이이테크놀로지","24700","650","2.70","2020141.0"
"051600","한전KPS","49400","-300","-0.60","2223000.0"
"069620","대웅제약","173100","4000","2.37","2005636.0"
"069960","현대백화점","90800","200","0.22","2054696.0"
"139480","이마트","80700","-3600","-4.27","2226983.0"
"192820","코스맥스","173200","-1300","-0.74","1965735.0"
"028670","팬오션","3845","-75","-1.91","2055420.0"
"001430","세아베스틸지주","58000","800","1.40","2080003.0"
"002790","아모레퍼시픽홀딩스","25850","-200","-0.77","2053994.0"
"005850","에스엘","43700","-800","-1.80","2029800.0"
"010060","OCI홀딩스","101800","-2400","-2.30","1900630.0"
"018880","한온시스템","2800","-95","-3.28","1900535.0"
"023530","롯데쇼핑","68900","-1000","-1.43","1949095.0"
"000120","CJ대한통운","93900","-2100","-2.19","2142079.0"
"006040","동원산업","40800","0","0.00","1801238.0"
"006280","녹십자","158300","-2600","-1.62","1849979.0"
"006360","GS건설","18450","-290","-1.55","1578978.0"
"007070","GS리테일","20150","-100","-0.49","1684689.0"
"008770","호텔신라","44300","-200","-0.45","1738692.0"
"017960","한국카본","31400","150","0.48","1629925.0"
"073240","금호타이어","5510","-10","-0.18","1582804.0"
"112610","씨에스윈드","39500","-400","-1.00","1665770.0"
"282330","BGF리테일","102300","300","0.29","1768144.0"
"457190","이수스페셜티케미컬","57800","-200","-0.34","1746039.0"
"161890","한국콜마","63000","-600","-0.94","1487120.0"
"007310","오뚜기","375000","0","0.00","1502936.0"
"000080","하이트진로","17590","-270","-1.51","1233650.0"
"300720","한일시멘트","16510","-390","-2.31","1214231.0"
"007340","DN오토모티브","23550","-100","-0.42","1377931.0"
"047040","대우건설","3645","-85","-2.28","1514945.0"
"034230","파라다이스","15800","250","1.61","1460008.0"
"375500","DL이앤씨","39400","-600","-1.50","1524529.0"
"003090","대웅","21350","0","0.00","1241331.0"
"001800","오리온홀딩스","19440","-230","-1.17","1217827.0"
"005300","롯데칠성","125600","-1800","-1.41","1165428.0"
"004490","세방전지","61300","-700","-1.13","858200.0"
"004000","롯데정밀화학","41950","-850","-1.99","1082310.0"
"000670","영풍","47300","1500","3.28","903830.0"
"009240","한샘","43300","400","0.93","1019019.0"
"298020","효성티앤씨","222500","-2000","-0.89","962909.0"
"285130","SK케미칼","66600","-500","-0.75","1152098.0"
"280360","롯데웰푸드","107300","-2000","-1.83","998381.0"
"192080","더블유게임즈","53300","-100","-0.19","1145732.0"
"185750","종근당","82900","-100","-0.12","1144250.0"
"137310","에스디바이오센서","8670","-190","-2.14","1055565.0"
"120110","코오롱인더","41150","-1000","-2.37","1132411.0"
"071320","지역난방공사","96600","-300","-0.31","1118507.0"
"069260","TKG휴켐스","18570","650","3.63","759115.0"
"005420","코스모화학","13730","-170","-1.22","527345.0"
"093370","후성","7370","-190","-2.51","790472.0"
"114090","GKL","13750","30","0.22","850515.0"
"298050","HS효성첨단소재","179000","-300","-0.17","801911.0"
"268280","미원에스씨","135900","-2300","-1.66","679500.0"
"001680","대상","19830","-470","-2.32","687070.0"
"002030","아세아","317500","4000","1.28","658065.0"
"002840","미원상사","146500","900","0.62","695875.0"
"014820","동원시스템즈","24250","-200","-0.82","703039.0"
"000210","DL","34600","-700","-1.98","725074.0"
"008730","율촌화학","25350","300","1.20","628680.0"
"003240","태광산업","709000","-11000","-1.53","789401.0"
"005250","녹십자홀딩스","15580","-120","-0.76","732700.0"
"006650","대한유화","129200","-3200","-2.42","839800.0"
"003030","세아제강지주","113000","-4900","-4.16","468007.0"
